datetime_utc,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour
2025-05-21T12:00:00,1970-01-01 00:00:01.747828800,0.0,0.1479170489998165,0.0155440414507772,0.23820153061224497,0.2091321897073663,0.18161434977578478,0.01880076663320252,0.030718414533443435,0.19071729957805905,1970,1,1,0
2025-05-21T13:00:00,1970-01-01 00:00:01.747832400,0.0,0.19860191194380955,0.0062176165803108805,0.3437500000000001,0.1772199798183653,0.23094170403587444,0.023272793647896323,0.038232865400495454,0.24219409282700421,1970,1,1,0
2025-05-21T14:00:00,1970-01-01 00:00:01.747836000,0.0,0.2340212549425249,0.0010362694300518134,0.3711734693877552,0.15659687184661958,0.2511210762331839,0.028383681664689242,0.04665565648224608,0.23459915611814344,1970,1,1,0
2025-05-21T15:00:00,1970-01-01 00:00:01.747839600,0.0,0.2521730425933032,0.0010362694300518134,0.3523596938775511,0.14947023208879917,0.2533632286995516,0.032673176964497584,0.05284888521882741,0.2042194092827004,1970,1,1,0
2025-05-21T16:00:00,1970-01-01 00:00:01.747843200,0.0,0.26076511119638296,0.0010362694300518134,0.32621173469387765,0.14291120080726538,0.24215246636771304,0.03595874783243589,0.0564822460776218,0.18396624472573841,1970,1,1,0
2025-05-21T17:00:00,1970-01-01 00:00:01.747846800,0.0,0.2696741687382172,0.0010362694300518134,0.3070790816326532,0.13609989909182643,0.23542600896860988,0.03887925527060327,0.059867877786952926,0.17637130801687761,1970,1,1,0
2025-05-21T18:00:00,1970-01-01 00:00:01.747850400,0.0,0.26483591651512367,0.0010362694300518134,0.28794642857142866,0.13212663975782038,0.21076233183856502,0.03933558455781692,0.058711808422791084,0.16371308016877636,1970,1,1,0
2025-05-21T19:00:00,1970-01-01 00:00:01.747854000,0.0,0.23545604698109746,0.0010362694300518134,0.2461734693877552,0.13433400605449042,0.15919282511210764,0.035502418545222236,0.050454170107349296,0.14430379746835442,1970,1,1,0
2025-05-21T20:00:00,1970-01-01 00:00:01.747857600,0.0,0.20465806903685413,0.0,0.19802295918367355,0.13736125126135218,0.12556053811659196,0.03185178424751301,0.04335260115606936,0.13333333333333333,1970,1,1,0
2025-05-21T21:00:00,1970-01-01 00:00:01.747861200,0.0,0.1802999716378318,0.0,0.15784438775510207,0.13849646821392533,0.10986547085201795,0.02902254266678836,0.03815028901734104,0.12827004219409283,1970,1,1,0
2025-05-21T22:00:00,1970-01-01 00:00:01.747864800,0.0,0.16188124593336561,0.0,0.12882653061224494,0.13824419778002017,0.10538116591928251,0.026740896230720092,0.03410404624277456,0.1232067510548523,1970,1,1,0
2025-05-21T23:00:00,1970-01-01 00:00:01.747868400,0.0,0.1514539782111814,0.0,0.11320153061224493,0.13477547931382441,0.10538116591928251,0.025463174226521862,0.0314616019818332,0.1232067510548523,1970,1,1,0
2025-05-22T00:00:00,1970-01-01 00:00:01.747872000,0.0,0.14773352908790605,0.0010362694300518134,0.10937500000000004,0.1296039354187689,0.11210762331838567,0.025098110796750936,0.030388109000825763,0.12573839662447256,1970,1,1,0
2025-05-22T01:00:00,1970-01-01 00:00:01.747875600,0.0,0.1522547923722451,0.0010362694300518134,0.11957908163265311,0.12146821392532796,0.12780269058295965,0.02573697179885005,0.0314616019818332,0.13333333333333333,1970,1,1,0
2025-05-22T02:00:00,1970-01-01 00:00:01.747879200,0.0,0.17606233003553612,0.00932642487046632,0.16326530612244902,0.1084762865792129,0.18161434977578478,0.0285662133795747,0.0374896779521057,0.15105485232067511,1970,1,1,0
2025-05-22T03:00:00,1970-01-01 00:00:01.747882800,0.0,0.20882897612572782,0.06113989637305699,0.2200255102040817,0.09807013118062563,0.23991031390134532,0.03157798667518481,0.04368290668868703,0.1662447257383966,1970,1,1,0
2025-05-22T04:00:00,1970-01-01 00:00:01.747886400,0.0,0.21847211331520378,0.14093264248704662,0.21651785714285723,0.11226034308779011,0.273542600896861,0.03230811353472666,0.04591246903385631,0.17383966244725738,1970,1,1,0
2025-05-22T05:00:00,1970-01-01 00:00:01.747890000,0.0,0.21294983232953502,0.15440414507772018,0.19579081632653067,0.13168516649848636,0.29820627802690586,0.03285570867938305,0.04706853839801817,0.18227848101265823,1970,1,1,0
2025-05-22T06:00:00,1970-01-01 00:00:01.747893600,0.0,0.19706701813510402,0.12642487046632123,0.17059948979591844,0.16057013118062563,0.3004484304932736,0.033220772109153966,0.04690338563170933,0.18734177215189873,1970,1,1,0
2025-05-22T07:00:00,1970-01-01 00:00:01.747897200,0.0,0.14963546272043243,0.06839378238341969,0.1122448979591837,0.2066725529767911,0.22197309417040362,0.028748745094460165,0.04071015689512799,0.1518987341772152,1970,1,1,0
2025-05-22T08:00:00,1970-01-01 00:00:01.747900800,0.0,0.11393249803967369,0.038341968911917094,0.07621173469387757,0.22962916246215942,0.1681614349775785,0.025828237656292784,0.03781998348472337,0.11645569620253163,1970,1,1,0
2025-05-22T09:00:00,1970-01-01 00:00:01.747904400,0.0,0.08188324796876827,0.02383419689119171,0.04878826530612247,0.23599899091826437,0.12780269058295965,0.022086337501140824,0.035755573905862925,0.08185654008438818,1970,1,1,0
2025-05-22T10:00:00,1970-01-01 00:00:01.747908000,0.0,0.06526635412669547,0.0155440414507772,0.046237244897959204,0.22073662966700305,0.10538116591928251,0.0184357032034316,0.034929810074318744,0.06919831223628692,1970,1,1,0
2025-05-22T11:00:00,1970-01-01 00:00:01.747911600,0.0,0.07819616610220391,0.01865284974093264,0.085140306122449,0.196518668012109,0.1188340807174888,0.018526969060874327,0.037902559867877786,0.09113924050632911,1970,1,1,0
